Mods count: 288
 
jar name                                                                            | mod id (isMCreator)                                     | mixin configs
    /META-INF/jars/bytecodecs-1.0.2.jar                                             |                                                         | 
    /META-INF/jars/kotlin-metadata-jvm-2.1.20.jar                                   |                                                         | 
dcintegration-forge-3.0.7.1-1.20.1.jar                                              | dcintegration                                           | mixins.dcintegration.refmap.json, mixins.dcintegration.json
dg_js-1.20.1-1.1.1.jar                                                              | dg_js                                                   | 
displaydelight-1.4.0.jar                                                            | displaydelight                                          | 
do_a_barrel_roll-forge-3.5.6+1.20.1.jar                                             | do_a_barrel_roll                                        | do_a_barrel_roll.forge.mixins.json, do_a_barrel_roll.mixins.json
Draconic-Evolution-1.20.1-3.1.2.621-universal.jar                                   | draconicevolution                                       | mixins.draconicevolution.json, mixins.draconicevolution.refmap.json
drippyloadingscreen_forge_3.1.2_MC_1.20.1.jar                                       | drippyloadingscreen                                     | drippyloadingscreen.forge.mixins.json, drippyloadingscreen.mixins.json
dummmmmmy-1.20-2.0.12-forge.jar                                                     | dummmmmmy                                               | dummmmmmy-common.mixins.json, dummmmmmy.mixins.json
DungeonsArise-1.20.x-2.1.58-release.jar                                             | dungeons_arise                                          | 
DungeonsAriseSevenSeas-1.20.x-1.0.2-forge.jar                                       | dungeons_arise_seven_seas                               | 
durabilitytooltip-1.1.6-forge-mc1.20.jar                                            | durabilitytooltip                                       | 
dynamic-fps-3.11.4+minecraft-1.20.0-forge.jar                                       | dynamic_fps                                             | dynamic_fps-common.mixins.json, dynamic_fps.mixins.json
    /META-INF/jars/battery-2.0.0.jar                                                |                                                         | 
easy_npc_bundle-6.0.8-forge-1.20.1.jar                                              | easy_npc_bundle                                         | 
    /META-INF/jarjar/easy_npc-forge-1.20.1-6.0.8.jar                                | easy_npc                                                | easy_npc.forge.mixins.json
    /META-INF/jarjar/easy_npc_config_ui-forge-1.20.1-6.0.8.jar                      | easy_npc_config_ui                                      | easy_npc.forge.mixins.json
effortlessbuilding-1.20.1-3.11.jar                                                  | effortlessbuilding                                      | 
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                                 | ponder                                                  | ponder-common.mixins.json, ponder.mixins.json
